"Cross-Sell Products Carousel Settings","Cross-Sell Products Carousel Settings"
"Custom Category Products Carousel Settings","Custom Category Products Carousel Settings"
"Owl Slider","Owl Slider"
"General Settings","General Settings"
"Enable Google Analytics Tracking","Enable Google Analytics Tracking"
"Enable Hover Image on products","Enable Hover Image on products"
"Mobile Breakpoint","Mobile Breakpoint"
" <b style=""font-size: 16px""><a style=""font-size: 16px"" target=""_blank"" href="""">Upgrade to Pro version</a> to enable this functionality.</b> "," <b style=""font-size: 16px""><a style=""font-size: 16px"" target=""_blank"" href="""">Upgrade to Pro version</a> to enable this functionality.</b> "
"Baniwal - Custom Slider Widget","Baniwal - Custom Slider Widget"
"Custom Slider","Custom Slider"
"Baniwal - Products Carousel Widget","Baniwal - Products Carousel Widget"
"Products Slider Type","Products Slider Type"
"Baniwal - Custom Category Product Carousel","Baniwal - Custom Category Product Carousel"
